issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
CL,KMI,18,True,19.012725943076855,15.4943,-0.20121743882284776,0.432306666074013,-0.8003106099323999
C,MSFT,19,True,26.820711459579908,15.4943,-0.20201524672019078,0.4333762250053582,-0.9317341515637861
ABBV,C,19,True,23.275911821670086,15.4943,-0.20206880090762613,0.43344805873406606,-0.7877463728261155
C,WFC,19,True,24.688692056888897,15.4943,-0.20278660459760905,0.4344113307431941,-0.7895540344836276
ABBV,WFC,19,True,17.55141553599922,15.4943,-0.20336747712020548,0.4351914776092504,-0.8296991865011519
TAP,UNH,18,True,21.01641480752792,15.4943,0.20361732456907966,0.435527212900563,0.7504383723948144
C,TMO,19,True,21.452238835139237,15.4943,-0.20402578652596115,0.4360763161104439,-0.7906328450640006
UPS,VZ,20,True,17.94532739299634,15.4943,-0.20524907732356998,0.4377225132709448,-0.9745117201229494
C,CAT,19,True,18.12666003816926,15.4943,-0.2058631161426615,0.438549803952775,-0.8016487331813925
HUM,JNJ,18,True,18.14380003123254,15.4943,0.20719693950921328,0.4403491190306251,0.8050021887467994
NSC,UNH,18,True,31.867591421654797,15.4943,-0.20739110732667432,0.4406113100496093,-0.8262785185085009
BA,TAP,18,True,25.38246101237399,15.4943,-0.20808959275235955,0.44155504911744703,-0.8165745932148579
MSFT,UNH,21,True,24.42393028881786,15.4943,-0.2081661540802946,0.44165854551842715,-0.9943180016103749
AEP,MCD,18,True,28.737132446728722,15.4943,-0.2156613365143017,0.45184250399262255,-0.9149650759588965
AEP,SBUX,18,True,15.496610810574138,15.4943,-0.21757408667696565,0.4544584144595853,-0.9021999415088571
CL,VZ,18,True,16.974991499115863,15.4943,0.21853582124454762,0.45577639953853716,0.8652629329168335
GS,WFC,19,True,17.96161626188325,15.4943,-0.21992090631571537,0.45767777263245696,-0.8900412435730877
KMI,TAP,18,True,17.943621681787405,15.4943,-0.22187096468146467,0.4603612368840305,-0.8865171214864969
AEP,KMI,18,True,22.468182200450023,15.4943,-0.2253085673933908,0.4651106714430099,-0.9080551966657981
BA,HON,19,True,22.462137615096278,15.4943,-0.22610032215677833,0.4662080630691383,-0.9559046331039976
MCD,ORCL,21,True,17.780350997267618,15.4943,-0.2275121351924514,0.46816817023134094,-0.9963006859303661
BA,MCD,19,True,15.85966225127493,15.4943,-0.22773125125542126,0.46847276424922885,-0.9364172102842755
CL,JNJ,18,True,18.616415282607186,15.4943,0.22849707782739617,0.46953815362039586,0.9564606027678626
AEP,HUM,18,True,18.595516137293455,15.4943,-0.22927046895432743,0.4706153530423232,-0.9969009689666996
BA,ORCL,19,True,16.36569541258412,15.4943,-0.22978835644135476,0.47133740723708745,-0.9410576625081581
AEP,VZ,18,True,21.084943926139907,15.4943,-0.23265579796337235,0.4753459552296951,-0.9379619525552718
AEP,TMO,18,True,18.389204198873387,15.4943,-0.23270700404952938,0.4754177048499955,-0.9576024192359228
