issuer_1,issuer_2,n_overlap_days,cointegrated,trace_stat,crit_95,phi,half_life_days,phi_t_stat
BA,WFC,19,True,17.406449294892234,15.4943,-0.25499520932223874,0.5072388173543003,-1.058649305522642
C,CAT,19,True,18.12666003816926,15.4943,-0.2058631161426615,0.438549803952775,-0.8016487331813925
C,CL,18,False,12.932685446664832,15.4943,,,
C,CSCO,19,True,25.126286517920736,15.4943,-0.26452066763967347,0.5212276075711192,-1.0493894420812133
C,GS,19,True,24.348210362369965,15.4943,-0.18176961442188644,0.40653429998859697,-0.6980669427499635
C,HD,19,True,18.674156513147484,15.4943,-0.17859923405211042,0.40238174557791623,-0.686200074608881
C,HON,19,True,29.194322160439548,15.4943,-0.16961376008031587,0.39067461564442724,-0.6554048258561489
C,HUM,18,True,30.788171130614774,15.4943,-0.02157618970986825,0.1806875352153547,-0.07579464202668448
C,INTC,19,True,24.896460811760285,15.4943,-0.16225399862572987,0.381144904560393,-0.6248297649727614
C,JNJ,19,True,27.814341105295146,15.4943,-0.23591266624682394,0.47992124330804103,-0.9521971872970574
C,KMI,19,True,27.42387455317724,15.4943,-0.16692384918467446,0.3871860016931246,-0.6458797428679075
C,KO,19,True,21.383769701271035,15.4943,-0.14946111131012813,0.36467629573201227,-0.5716627424743256
C,MCD,19,True,22.567862845581164,15.4943,-0.18282511521811873,0.40791954192761865,-0.7108634752328836
C,MSFT,19,True,26.820711459579908,15.4943,-0.20201524672019078,0.4333762250053582,-0.9317341515637861
C,NSC,18,True,21.451384418788344,15.4943,-0.17244907500643378,0.39435944460686556,-0.665244563493147
C,ORCL,19,True,24.57154905428931,15.4943,-0.13309907980440738,0.343710231907401,-0.5117951636963104
C,PEP,19,True,17.5074286651138,15.4943,-0.17331563601461253,0.3954872877288536,-0.6760291027175502
C,PG,19,True,20.316371188599803,15.4943,-0.19437056483653203,0.4231696667831257,-0.7525778132316971
C,SBUX,19,True,21.856771334354555,15.4943,-0.19008700453416955,0.41748978419361177,-0.7364496499260291
C,T,19,True,23.398390087593686,15.4943,-0.1734784377324019,0.3956992651743973,-0.6736031804593227
C,TAP,18,True,20.633610600571526,15.4943,0.0471091169986911,0.22686797937954437,0.17849289916863398
C,TGT,19,True,21.03203910333047,15.4943,-0.13666090975979284,0.34827097025349174,-0.52161350828167
C,TMO,19,True,21.452238835139237,15.4943,-0.20402578652596115,0.4360763161104439,-0.7906328450640006
C,UNH,19,True,27.68496576963763,15.4943,-0.17073039416065988,0.39212485015395027,-0.6555595403478117
C,UPS,19,True,21.342779190528773,15.4943,-0.18321153872866547,0.4084270379666297,-0.717093152205955
C,VZ,19,True,23.07793019912506,15.4943,-0.17591024577325642,0.3988690338446188,-0.6799387520071742
C,WFC,19,True,24.688692056888897,15.4943,-0.20278660459760905,0.4344113307431941,-0.7895540344836276
CAT,CL,18,True,16.627783951182284,15.4943,-0.08122004777591021,0.2760890092659849,-0.3158725622608829
CAT,CSCO,19,False,10.805999267340981,15.4943,,,
CAT,GS,19,False,10.321025066506204,15.4943,,,
CAT,HD,19,False,11.258406183425556,15.4943,,,
CAT,HON,19,False,14.95051036083065,15.4943,,,
CAT,HUM,18,False,11.235751216740368,15.4943,,,
CAT,INTC,19,False,15.070724424396916,15.4943,,,
CAT,JNJ,19,False,12.083293838192795,15.4943,,,
CAT,KMI,19,True,17.054105840718464,15.4943,0.0502244908793513,0.23172473048370876,0.20142974075678788
CAT,KO,19,True,17.094146420383364,15.4943,-0.048951181869514415,0.22975235582073608,-0.1982730037208168
CAT,MCD,19,False,14.112232145335978,15.4943,,,
CAT,MSFT,19,True,25.43592871104131,15.4943,-0.2473854984352719,0.4962367484557211,-1.1893555345570348
CAT,NSC,18,True,20.038978204828275,15.4943,-0.5323391102129231,1.099405457878065,-2.4534122931213402
CAT,ORCL,19,False,7.3116246468985455,15.4943,,,
CAT,PEP,19,False,14.57022013134495,15.4943,,,
CAT,PG,19,False,13.294072271599077,15.4943,,,
CAT,SBUX,19,False,10.794043351778434,15.4943,,,
CAT,T,19,False,13.152258302011827,15.4943,,,
CAT,TAP,18,False,10.76793773085567,15.4943,,,
CAT,TGT,19,False,15.373761354168357,15.4943,,,
CAT,TMO,19,False,11.087585281949895,15.4943,,,
CAT,UNH,19,True,22.90967567363433,15.4943,-0.1677359184101497,0.3882384800164913,-0.6556184075103889
CAT,UPS,19,False,10.729463084695421,15.4943,,,
CAT,VZ,19,False,11.462513379239208,15.4943,,,
CAT,WFC,19,True,19.507342629015263,15.4943,-0.2612680172755821,0.5164228762813468,-1.0755625567972393
